"vacc_self","vacc_others01","vacc_others02","vacc_others03","vacc_others04","vacc_others05","masks_self","masks_others_never","masks_others_sometimes","masks_others_half","masks_others_often","masks_others_always","testing_self","testing_others_never","testing_others_sometimes","testing_others_half","testing_others_often","testing_others_always"
5,5,5,5,30,55,5,0,0,0,10,90,5,0,0,0,10,90
4,10,20,20,35,15,5,0,0,0,37,63,2,0,62,18,20,0
3,38,30,32,0,0,2,26,9,29,0,36,1,58,17,8,17,0
5,14,0,0,0,86,5,0,0,0,0,100,2,0,75,0,25,0
4,16,0,10,29,45,5,2,4,2,31,61,5,0,0,0,0,100
5,26,0,48,22,4,4,6,9,26,22,37,5,19,8,14,28,31
2,10,15,15,20,40,3,3,5,7,65,20,1,70,30,0,0,0
3,65,35,0,0,0,3,28,57,15,0,0,3,54,46,0,0,0
1,35,23,11,23,8,4,13,24,21,42,0,1,11,21,68,0,0
5,5,11,20,25,39,4,0,11,9,70,10,2,0,48,24,21,7
2,35,8,25,24,8,4,3,20,17,55,5,2,25,8,17,6,44
5,0,0,0,0,100,4,0,0,0,21,79,2,15,85,0,0,0
4,25,0,0,50,25,5,0,0,25,25,50,5,0,25,25,0,50
4,25,30,10,35,0,NA,10,22,23,28,17,2,17,26,20,25,12
3,37,19,20,0,24,2,41,21,38,0,0,2,100,0,0,0,0
5,0,0,50,25,25,5,0,0,0,0,100,2,0,100,0,0,0
4,0,5,10,70,15,5,0,10,10,20,60,5,0,10,0,10,80
5,5,15,10,40,30,NA,0,0,0,0,100,5,20,20,20,20,20
4,5,15,50,20,10,4,0,20,20,20,40,4,20,20,20,30,10
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,100,0,0,0,0,1,100,0,0,0,0,1,100,0,0,0,0
NA,3,10,11,17,59,NA,0,2,8,31,59,NA,0,0,0,0,100
4,0,25,25,20,30,3,30,25,20,20,5,2,0,0,0,0,0
5,7,0,0,8,85,5,0,0,0,100,0,4,0,30,0,70,0
5,0,0,0,80,20,5,0,0,0,80,20,3,0,4,0,0,96
5,0,5,10,25,60,4,0,0,10,40,50,4,0,10,50,30,10
5,50,24,10,10,6,5,50,10,10,20,10,5,50,10,10,10,20
1,80,5,5,5,5,5,20,25,25,25,5,4,10,20,20,40,10
5,5,10,25,20,40,5,5,5,20,20,50,3,5,15,45,30,5
4,19,15,33,13,20,4,22,21,22,19,16,2,6,17,29,22,26
5,15,5,10,15,55,5,10,20,20,30,20,3,75,0,0,25,0
2,10,50,25,10,5,5,0,0,0,90,10,5,0,0,0,0,100
4,60,10,0,20,10,4,0,10,30,30,30,4,0,0,10,40,50
4,58,0,0,42,0,4,54,38,8,0,0,4,55,37,8,0,0
NA,0,0,0,10,90,3,0,0,100,0,0,1,80,0,0,20,0
NA,20,20,20,20,20,4,0,10,20,70,0,3,0,20,60,20,0
3,48,20,19,7,6,4,0,0,5,25,70,2,0,2,18,29,51
4,10,20,0,60,10,4,0,0,0,75,25,2,10,30,0,60,0
3,24,29,32,8,7,4,0,3,15,37,45,4,7,9,14,46,24
3,53,18,29,0,0,NA,48,46,6,0,0,4,63,17,20,0,0
NA,50,17,13,17,3,NA,0,0,0,0,100,NA,0,30,70,0,0
4,95,5,0,0,0,2,23,0,0,0,77,3,4,79,17,0,0
3,50,49,1,0,0,NA,0,49,0,0,51,NA,0,51,30,19,0
5,10,10,30,0,50,4,10,25,30,35,0,4,10,20,0,70,0
5,0,0,2,51,47,4,0,3,16,36,45,4,96,4,0,0,0
3,50,15,0,10,25,3,10,25,25,40,0,3,0,26,0,50,24
2,0,100,0,0,0,4,0,0,0,100,0,4,0,0,0,100,0
1,69,0,0,0,31,4,20,16,0,15,49,2,16,0,18,15,51
4,75,12,0,13,0,3,41,26,26,7,0,3,49,27,13,11,0
3,25,37,0,0,38,1,100,0,0,0,0,1,100,0,0,0,0
NA,100,0,0,0,0,5,0,0,0,0,100,1,0,0,0,0,100
4,0,0,0,100,0,5,0,0,0,0,100,4,0,0,0,0,100
3,42,41,17,0,0,3,38,38,24,0,0,4,14,20,21,29,16
2,62,38,0,0,0,3,13,28,0,59,0,3,14,35,51,0,0
5,0,10,0,0,90,5,0,0,0,0,100,2,40,10,10,30,10
NA,100,0,0,0,0,NA,100,0,0,0,0,NA,100,0,0,0,0
5,16,22,27,21,14,5,8,12,16,18,46,3,17,13,40,20,10
5,10,10,0,20,60,5,10,20,20,20,30,2,60,0,0,40,0
5,10,5,10,30,45,5,0,0,10,25,65,2,1,45,20,25,9
5,0,27,0,16,57,NA,0,0,0,90,10,NA,0,100,0,0,0
3,100,0,0,0,0,NA,0,0,100,0,0,3,0,0,0,100,0
NA,100,0,0,0,0,NA,0,0,0,0,100,NA,0,0,0,0,100
2,50,22,10,8,10,4,10,10,30,30,20,1,5,55,10,9,21
4,5,10,5,50,30,4,5,10,20,55,10,3,10,20,30,30,10
5,0,0,50,50,0,5,0,0,30,70,0,2,0,100,0,0,0
5,10,10,5,75,0,5,0,10,0,80,10,5,0,10,10,60,20
5,30,30,0,0,40,NA,10,0,0,0,90,2,0,80,20,0,0
3,15,24,25,19,17,3,0,17,32,44,7,1,67,33,0,0,0
2,20,10,50,10,10,5,10,10,20,50,10,1,50,10,10,30,0
2,54,46,0,0,0,4,0,0,0,100,0,1,100,0,0,0,0
1,50,20,10,10,10,3,0,20,10,50,20,2,10,10,20,50,10
5,5,5,10,29,51,5,0,0,0,0,100,4,10,0,0,50,40
4,60,20,5,5,10,5,0,0,0,60,40,2,0,21,40,24,15
4,12,23,29,34,2,NA,15,15,15,42,13,4,21,12,23,26,18
NA,29,8,0,15,48,3,0,0,0,100,0,3,0,0,0,100,0
1,50,10,10,10,20,2,10,20,30,20,20,2,10,20,30,20,20
